apprehension_date,apprehension_state,apprehension_aor,final_program,final_program_group,apprehension_method,apprehension_criminality,case_status,case_category,departed_date,departure_country,final_order_yes_no,final_order_date,birth_year,citizenship_country,gender,apprehension_site_landmark,unique_identifier,apprehension_date_time,duplicate_likely,file_original,sheet_original,row_original
2025-01-02,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Federal Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-02-21,HONDURAS,YES,2008-08-12,1991,HONDURAS,Male,FEDERAL CORRECTIONAL INSTITUTE RAY BROOK,3a6c5fd3ea02d459d4f41ae0fffe1e5d8e1fdc55,2025-01-02 09:00:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,84765
2025-01-02,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8C] Excludable / Inadmissible - Administrative Final Order Issued,,,YES,2025-03-31,2006,HONDURAS,Female,"NDD - 26 FEDERAL PLAZA NY, NY",cccef333633f86b55054adf666ceb1226468e20c,2025-01-02 09:32:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,297505
2025-01-02,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8D] Excludable / Inadmissible - Under Adjudication by BIA,,,NO,,1988,HONDURAS,Female,"NDD - 26 FEDERAL PLAZA NY, NY",9018b7d0a66fa22a116a579b4cb8ff0b7cd9dedc,2025-01-02 09:39:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,209138
2025-01-02,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8C] Excludable / Inadmissible - Administrative Final Order Issued,,,YES,2025-03-31,2017,HONDURAS,Male,"NDD - 26 FEDERAL PLAZA NY, NY",ee72bf23e8aab3177a7496ca9e129634d8c47fec,2025-01-02 10:00:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,346164
2025-01-02,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8C] Excludable / Inadmissible - Administrative Final Order Issued,,,YES,2025-03-31,2019,MEXICO,Male,"NDD - 26 FEDERAL PLAZA NY, NY",a2ce48ca40e0050866f89b7b1118496109a0a17e,2025-01-02 10:10:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,236319
2025-01-02,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1989,ECUADOR,Female,"NDD - 26 FEDERAL PLAZA NY, NY",2a6026b93193dbfdcab8dd658409cf28217981a6,2025-01-02 10:10:26 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,61542
2025-01-03,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-01-29,COLOMBIA,YES,2024-09-24,1996,COLOMBIA,Male,WENDE CORRECTIONAL FACILITY,9a02553c79df2b1b7ca43783fe91bec9b4105677,2025-01-03 06:54:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,223532
2025-01-03,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-01-27,DOMINICAN REPUBLIC,YES,2024-11-19,1982,DOMINICAN REPUBLIC,Male,WENDE CORRECTIONAL FACILITY,5a578c7bcc675a0f4b80ff16763f2222c6b7b60e,2025-01-03 06:57:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,131126
2025-01-03,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-10,COLOMBIA,YES,2025-01-23,1995,COLOMBIA,Male,WENDE CORRECTIONAL FACILITY,0b1d6a0bcd73b488bebed13541e56f2b0bfb61e9,2025-01-03 06:58:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,16211
2025-01-03,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-05,GUATEMALA,YES,2025-01-23,1994,GUATEMALA,Male,WENDE CORRECTIONAL FACILITY,a8b20745f6036d15670151c9c8ba198f5ed7e9d8,2025-01-03 06:59:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,244977
